title,body,label,url
Apply latest contributor license agreement links,"**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/CF/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [CF README.md file](https://github.com/nasa/CF/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
Applies links to the latest contributor license agreements.

**Describe the solution you'd like**
Working links

**Additional context**
Depends on https://github.com/nasa/cFS/pull/448

**Requester Info**
Justin Figueroa, ASRC Federal
",non-bug,https://github.com/nasa/CF/issues/220
Consider atomic assignments vs locking for a single variable (possible performance improvement),"**Is your feature request related to a problem? Please describe.**
In once case `volatile sig_atomic_t` is used with a simple assignment:
https://github.com/nasa/cFE/blob/e80aae94e0f56b868657daba965c590766a4dc57/modules/es/fsw/src/cfe_es_global.h#L154
https://github.com/nasa/cFE/blob/e80aae94e0f56b868657daba965c590766a4dc57/modules/es/fsw/src/cfe_es_start.c#L214

others have a lock for a single assignment:
https://github.com/nasa/cFE/blob/e80aae94e0f56b868657daba965c590766a4dc57/modules/evs/fsw/src/cfe_evs_log.c#L263-L266

**Describe the solution you'd like**
Consider using atomic types/assignments

**Describe alternatives you've considered**
None

**Additional context**
Code review

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/cFE/issues/1410
Build failure of ut_time_stubs with BUILDTYPE=release,"**Describe the bug**
Matrix build fails with: BUILDTYPE=release OMIT_DEPRECATED=false
See also https://github.com/nasa/cFS/pull/40/ (enhanced CI)

**To Reproduce**
Steps to reproduce the behavior:
1. See CI process/results

**Expected behavior**
Successful build

**Error text**
```
home/travis/build/nasa/cFS/cfe/fsw/cfe-core/ut-stubs/ut_time_stubs.c: In function ‘CFE_TIME_Print’:
/home/travis/build/nasa/cFS/cfe/fsw/cfe-core/ut-stubs/ut_time_stubs.c:106:25: error: ‘ -’ directive output may be truncated writing 2 bytes into a region of size between 0 and 18 [-Werror=format-truncation=]
              ""UT %lu.%lu -"",
                         ^~
In file included from /usr/include/stdio.h:862:0,
                 from /home/travis/build/nasa/cFS/cfe/fsw/cfe-core/ut-stubs/ut_time_stubs.c:35:
/usr/include/x86_64-linux-gnu/bits/stdio2.h:64:10: note: ‘__builtin___snprintf_chk’ output between 9 and 27 bytes into a destination of size 24
   return __builtin___snprintf_chk (__s, __n, __USE_FORTIFY_LEVEL - 1,
          ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
        __bos (__s), __fmt, __va_arg_pack ());
        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
cc1: all warnings being treated as errors
```

**System observed on:**
 - CI system, integration candidate bundle

**Additional context**
N/A

**Reporter Info**
Jacob Hageman - NASA/GSFC",bug,https://github.com/nasa/cFE/issues/487
os-impl-no-sockets.c out of date,"**Describe the bug**
Conflicting types for the implementations

**To Reproduce**
Attempt to compile w/ os-impl-no-sockets.c: OSAL_CONFIG_INCLUDE_NETWORK FALSE

**Expected behavior**
Should compile

**Code snips**
Many of the implementations don't match, sample:
```
src/os/portable/os-impl-no-sockets.c:52:7: error: conflicting types for ‘OS_SocketOpen_Impl’
 int32 OS_SocketOpen_Impl(uint32 sock_id)
src/os/shared/inc/os-shared-sockets.h:54:7: note: previous declaration of ‘OS_SocketOpen_Impl’ was here
 int32 OS_SocketOpen_Impl(const OS_object_token_t *token);
```

**System observed on:**
 - Hardware: cFS Dev Server
 - OS: Ubuntu 18.04
 - Versions cFS Bundle

**Additional context**
Seen when adding a coverage test for this code (#795)

**Reporter Info**
Jacob Hageman - NASA/GSFC",bug,https://github.com/nasa/osal/issues/796
Include element that caused write error in event reporting in `CFE_EVS_WriteAppDataFileCmd`,"**Is your feature request related to a problem? Please describe.**
Element that caused error not included in event, so not obvious how much of the write was completed
https://github.com/nasa/cFE/blob/73c338d544f85cb0c1a97b743d3ae9f7a35039b5/modules/evs/fsw/src/cfe_evs_task.c#L1746-L1748

**Describe the solution you'd like**
Add the element number

**Describe alternatives you've considered**
None

**Additional context**
Code review

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/cFE/issues/1432
Resolve Klocwork issues found in 1.3.0,See attached spreadsheet.,bug,https://github.com/nasa/PSP/issues/96
Fix use of uint32 to store a memory address,"In many places a uint32 is used to store a memory address which breaks horribly on 64-bit architectures.

The new version of OSAL ""common_types.h"" introduced a ""cpuaddr"" type to address this -- it is defined as an integer type large enough to store a memory address on the local processor.

This ticket is to replace all uses of a uint32 to store a memory address with the cpuaddr type for better portability.  This is a requirement for a native 64-bit build to work.",bug,https://github.com/nasa/cFE/issues/38
Add check of sem_wait/rtems_semaphore_obtain in console  loop,"**Is your feature request related to a problem? Please describe.**
Console loop could spin if the semaphore returns error.

**Describe the solution you'd like**
Check for real errors (not just interrupted), and exit loop if needed.

**Describe alternatives you've considered**
None.

**Additional context**
Mentioned in #667

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/osal/issues/668
Table CRC Tool Fails to Close File Descriptor,"Analysis of the 27b VPU FSW code revealed that there is a potential leak of an allocated resource in the file cfe_ts_crc.c. The resource ""fd"" is opened but never closed before the function returns.

VpuTopProject/cfs/CFE/tools/tblCRCTool/cfe_ts_crc.c
143 /* open the input file if possible */
-->144 fd = open( argv[1], O_RDONLY );
145 if ( fd < 0 )
146 {
147 printf(""\ncfe_ts_crc error: can't open input file!\n"");
148 exit(0);
149 }
150 /* seek past the number of bytes requested */
151 lseek( fd, skipSize, SEEK_SET );
152 
153 /* read the input file 100 bytes at a time */
154 while ( done == 0 )
155 {
156 readSize = read(fd, buffer, 100);
157 fileCRC = CFE_ES_CalculateCRC(buffer, readSize, fileCRC, CFE_ES_CRC_16);
158 fileSize += readSize;
159 if (readSize != 100) done=1; 
160 }
161 /* print the size/CRC results */
162 printf(""\nTable File Name: %s\nTable Size: %d Bytes\nExpected TS Validation CRC: 0x%08X\n\n"", argv[1], fileSize, fileCRC);
163
164 return(fileCRC);
165 }",bug,https://github.com/nasa/tblCRCTool/issues/1
Clean up ES task/app registration,"**Is your feature request related to a problem? Please describe.**
In nasa/osal#853 it is proposed that `OS_TaskRegister()` be finally deprecated/removed.

But this function is invoked by two places in CFE ES that follow a similar pattern: `CFE_ES_RegisterApp()` and `CFE_ES_RegisterChildTask()`.

**Describe the solution you'd like**
At a minimum, calls to `OS_TaskRegister()` must be removed to allow the function to be deprecated.

Furthermore there is already a task startup wrapper in ES that can be used to call/handle setting up environment (`CFE_PSP_SetDefaultExceptionEnvironment()`) meaning that these two functions themselves can also be deprecated - basically using the same design pattern as OSAL uses such that we don't need to burden apps with calling this extra function.  This design is simpler and less error prone.

**Additional context**
See nasa/osal#853

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.
",non-bug,https://github.com/nasa/cFE/issues/1215
CFE_ES_WriteToSysLog stub write to UtDebug,"**Is your feature request related to a problem? Please describe.**
CFE_ES_WriteToSysLog stub isn't informative when debugging

**Describe the solution you'd like**
Add debug output in CFE_ES_WriteToSysLog stub

**Describe alternatives you've considered**
None

**Additional context**
None

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/cFE/issues/1134
sample_table.c -- relocate?,"**Is your feature request related to a problem? Please describe.**
Tables are a component of applications that are expected to be customized by the user. The cFS build process supports this customization (for example, by creating `sample_defs/tables/cpu1_sample_table.c`). Currently `sample_table.c` is in `fsw/src` but everything else in `fsw/src` is not expected to be customized by the user.

I consider sample_app to be the ""style template"" for applications, so this should be clear not just for users of the sample_app but for folks who model their code on sample_app.

**Describe the solution you'd like**
I would like to see a clearer indication that `sample_table.c` is expected to be customized--whether it be relocated to a different folder (`fsw/tables`?) or possibly rename it to `sample_table.c.sample`?

**Requester Info**
Christopher.D.Knight@nasa.gov",non-bug,https://github.com/nasa/sample_app/issues/70
SysLog Support for Incremental Reads,"The concept is to use logs for forensic analysis, so yes as debug, but not as an exception more as always there. Problem is, by the time you know you want a log it will be gone if you don’t get it to a persistent, accessible storage place.

Algorithm I’m trying to support is:
On Timer:
-	Extract un-read logs
-	If enough logs have been extracted, package and send

The current API supports reading all the logs in the buffer at once and then clearing the logs (with the race condition that any logs that occur during the reading out will be lost, OR need to lock out all loggers during the read which is not acceptable).

The proposed update to the API is the addition of a single function that instead of setting the Buffer size based of EndIdx, sets the Buffer size based on the difference between the Buffer->LastOffset passed in and the writeIdx. This is a traditional circular buffer interface and is well supported within the code as it stands, just needs an API to initialize the Buffer correctly.

Advantages are:
-	Traditional circular buffer interface so supports a well established model
-	Allows readings of logs without loss of logs or undesirable locking
-	No impact to current code, so introduces no risk to current systems

",non-bug,https://github.com/nasa/cFE/issues/956
Include PSP unit test stub functions,"Per the UT assert framework design, each component should include basic stubs for the same public API calls provided by the component.

This adds those stubs for the PSP.",non-bug,https://github.com/nasa/PSP/issues/83
OSAL event callback framework for platform-specific handling,"**Is your feature request related to a problem? Please describe.**
Many platforms support extra non-standardized features, but OSAL cannot make use of these.  This includes items such as setting the processor affinity in a multi-processor system, or propagating the user-friendly task name at the OS level, as was suggested in #532. 

**Describe the solution you'd like**
An event callback framework could help solve this problem, allowing those platform-specific features to be invoked from the PSP/BSP layer while keeping OSAL itself standards-compliant.

**Describe alternatives you've considered**
Use `#ifdef` conditional compiles for platform-specific features (ugly and not as maintainable).

**Requester Info**
Joseph Hickey, Vantage Systems, Inc.

",non-bug,https://github.com/nasa/osal/issues/540
Change UT_ClearForceFail to UT_ClearDefaultReturnValue,"**Is your feature request related to a problem? Please describe.**
UT_ClearForceFail was refactored to UT_ClearDefaultReturnValue for nasa/osal#724. It needs to have its name changed here as well.

**Additional context**
Part of nasa/osal#724

**Requester Info**
Alex Campbell GSFC",non-bug,https://github.com/nasa/cFE/issues/1052
Update CFE_SB_GetUserData unit test to catch padding differences between header/payload,"**Is your feature request related to a problem? Please describe.**
CFE_SB_GetUserData returns the location right after the header, which isn't always the start of the payload if padding gets inserted.

**Describe the solution you'd like**
Add generic packets with all width types, and ensure the correct location is returned.

**Describe alternatives you've considered**
None

**Additional context**
None

**Requester Info**
Jacob Hageman - NASA/GSFC
",bug,https://github.com/nasa/cFE/issues/903
network_includes.h needs to include sioLib.h for VxWorks target,"**Describe the bug**
When using RS-422 in io_lib under VxWorks, sioLib.h needs to be included.

**To Reproduce**
1. Use the 6.8.x tag to build a cFS system for VxWorks. 
2. Include io_lib in your apps
3. Ensure io_lib builds trans_rs422.c
4. Observe build failure:

```
[ 60%] Building C object apps/io_lib/CMakeFiles/io_lib.dir/fsw/src/services/trans_rs422.c.obj
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c: In function 'IO_TransRS422Init':
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c:111: error: 'SIO_HW_OPTS_SET' undeclared (first use in this function)
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c:111: error: (Each undeclared identifier is reported only once
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c:111: error: for each function it appears in.)
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c:111: error: 'CS8' undeclared (first use in this function)
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c:111: error: 'CLOCAL' undeclared (first use in this function)
<cfs>/apps/io_lib/fsw/src/services/trans_rs422.c:111: error: 'CREAD' undeclared (first use in this function)
make[7]: *** [apps/io_lib/CMakeFiles/io_lib.dir/fsw/src/services/trans_rs422.c.obj] Error 1
make[6]: *** [apps/io_lib/CMakeFiles/io_lib.dir/all] Error 2
make[5]: *** [all] Error 2
make[4]: *** [CMakeFiles/cpu1_default_cpu1-all] Error 2
make[3]: *** [CMakeFiles/cpu1_default_cpu1-all.dir/all] Error 2
make[2]: *** [CMakeFiles/mission-all.dir/rule] Error 2
make[1]: *** [mission-all] Error 2
make: *** [all] Error 2
```

**Expected behavior**
Build should succeed.

**Code snips**
cfe/fsw/cfe-core/src/inc/network_includes.h should look like this (note the added sioLib.h line)

```
+++ b/fsw/cfe-core/src/inc/network_includes.h
@@ -42,6 +42,7 @@
     #include <arpLib.h>
     #include <netinet/in.h>
     #include <netinet/tcp.h>
+    #include <sioLib.h>
```

**System observed on:**
 - building under Ubuntu 18.04 host with VxWorks 6.9
 - Versions 
    - cFE 6.8.x
    - custom PSP and OSAL for PPC target
    - io_lib master

**Reporter Info**
Morgan Redfield, Astrobotic
",non-bug,https://github.com/nasa/cFE/issues/802
Race conditions / dependencies between CFE core apps,"The ""core"" applications have significant dependencies between them that need to be more pro-actively satisfied.  There are some race conditions during the startup phase that can pose some serious problems if things are not executed in the right order.

The summary of what happened is below, but here is a list of the basic problems:

* Start up code should synchronize at least the ""core"" applications and ensure that each one has reached it's respective ""RunLoop"" before starting the next one, regardless of what the platform config sets the priority to (likely depends on #71).
* EVS_IsFiltered should range check before doing the table lookups based on passed-in values
* CFE SB and EVS (at least) populate different values into their own ""AppID"" global variable before initialization.  SB does nothing (0 by default, which is in fact a valid AppID for a different app) but EVS initializes this to 0xFFFFFFFFF, which has very ill-effects if actually used for something, and nothing really checks for this.

For those interested, here are the details of the specific sequence of events discovered when debugging application startup on the Microblaze processor used by the EVA team at GRC:

1. As dictated by the table within ""cfe_es_objtab.c"", the CFE core applications are started (Tasks Created) in the order of EVS, SB, ES, TIME, BL.  
2. In the default/example platform configuration, these have respective priorities of 61(EVS), 64(SB), 68(ES), 60(TIME), and 70(TBL).
3. TIME task will run it's TaskMain first even though it is 4th in the start sequence.  
4. As part of this init sequence, it calls CFE_SB_CreatePipe() which in turn calls CFE_EVS_SendEventWithAppID() in several places (for errors as well as an unconditional ""debug event"" at the end).  The AppId supplied is ""CFE_SB.AppId"" which is uninitialized since SB has not executed yet.  In this case the value used is actually 0.
5. In turn this eventually calls EVS_NotRegistered() (since CFE_EVS_TaskInit has not run) and then EVS_SendEvent() as part of that.  
6. EVS_SendEvent() calls EVS_IsFiltered() with the contents of CFE_EVS_GlobalData.EVS_AppId, which is also uninitialized but set to ""0xFFFFFFFF"", not zero like CFE_SB.AppId.  
7. This appID value is not range-checked by EVS_IsFiltered and ultimately segfaults and crashes CFE core.

",bug,https://github.com/nasa/cFE/issues/73
Split message definitions from headers,"All of the cFS messages are currently defined in C structures.  As a first step toward moving to ""electronic data sheets"" to describe the external data format, these need to be slightly modified to better separate the header portion of the structure from the payload portion of the structure.

Currently, message structures are typically defined by reserving a block of space for the header as a uint8 array of size CFE_SB_CMD_HDR_SIZE or CFE_SB_TLM_HDR_SIZE.  This approach has several issues:

* Using a fixed-size block assumes only a single type of encapsulation (CCSDS) will ever occur.  This may not be the case, as other non-CCSDS encapsulations may be a requirement for some missions.
* The fixed size block is not guaranteed to be properly aligned for a CCSDS header.  Since it is declared as a uint8 array, the compiler will not ensure any alignment this structure.  It is technically not valid to cast this as a CCSDS header since that contains uint16's.
* This is unlikely to be compatible with electronic data sheets (EDS) no matter what specific implementation is used.  Since the definition of the message content (payload) and the message header (CCSDS or other format) will come from different data sheets, it becomes very problematic to have them mixed together like this.  

To solve this problem requires a bit of restructuring: instead of declaring the format of the payload directly within the message structure, declare a separate ""Payload"" structure and define it in there.

This adds one extra layer to the structure tree but will improve flexibility going forward, and it will **NOT** change the external data format, so compatibility with ground systems is unaffected.  It only affects the syntax of code accessing members of the payload structure.",non-bug,https://github.com/nasa/cFE/issues/35
"RTS table file load ""failure"" event at startup misnomer causes build run workflow failure","**Checklist (Please check before submitting)**

* [x] I reviewed the [Contributing Guide](https://github.com/nasa/SC/blob/main/CONTRIBUTING.md).
* [x] I reviewed the [README file](https://github.com/nasa/SC/blob/main/README.md) to see if the feature is in the major future work.
* [x] I performed a cursory search to see if the feature request is relevant, not redundant, nor in conflict with other tickets.

**Is your feature request related to a problem? Please describe.**
The build and run workflow checks for err|warn|fail, but SC nominally sends the following event:
`EVS Port1 66/1/SC 21: RTS table file load failure count = 62`

See error here: https://github.com/nasa/SC/runs/6327781812?check_suite_focus=true

**Describe the solution you'd like**
Really this isn't a failure.  It's just than only 2 of up to 64 RTS tables were loaded automatically.  Maybe just change to say 'RTS table files not loaded automatically at startup = 62' or similar.

**Describe alternatives you've considered**
Could set the configuration just to load the 2 existing RTS's... but it may be handy to leave as somewhat larger to avoid requiring recompile to add more default RTS's.

**Additional context**
None

**Requester Info**
Jacob Hageman - NASA/GSFC
",non-bug,https://github.com/nasa/SC/issues/25
"""network-api-test"" does not run successfully on VxWorks","**Describe the bug**
Running the ""network-api-test"" on VxWorks fails with several issues.  The fcntl `F_GETFL`/`F_SETFL` calls return errno `EINVAL` followed by other failures.

**To Reproduce**
Run the ""network-api-test"" program on MCP750 w/VxWorks 6.9.  Various failures are reported.  Eventually the test hangs because a timeout test is reached, but timeouts do not function correctly due to issues with the previous fcntl F_GETFL calls.

**Expected behavior**
Test should pass.

**System observed on:**
MCP750 w/VxWorks 6.9

**Additional context**
This is partly related to modifications in PR #910/issue #863 which was a product of the CFS-38 review.  Previously it would not check the result of the `fcntl` calls so the ""selectable"" flag was always set.  Now the result is checked and the ""selectable"" flag only gets set if the flags were set.  So the fcntl was always failing on VxWorks but it was previously ignored.  But even if the O_NONBLOCK flag doesn't get set, `select()` should still be usable.  The flag is mainly set as a protection in case two tasks call a blocking API at the same time.

**Reporter Info**
Joseph Hickey, Vantage Systems, Inc.  (on behalf of JSC team)",bug,https://github.com/nasa/osal/issues/988
Missing registering contexts in stub functions,"I’ll work this issue

The issue causes seg faults cause by not registering contexts. I resolved this by adding the missing registrations.
 

cfe/fsw/cfe-core/ut-stubs/ut_evs_stubs.c:
int32 CFE_EVS_SendEvent(uint16 EventID,
                        uint16 EventType,
                        const char *Spec,
                        ...)
{
    int32 status;
    UT_Stub_RegisterContext(UT_KEY(CFE_EVS_SendEvent), &EventID);
    UT_Stub_RegisterContext(UT_KEY(CFE_EVS_SendEvent), &EventType);  <----- missing
    UT_Stub_RegisterContext(UT_KEY(CFE_EVS_SendEvent), Spec);              <----- missing
..
}
 
cfe/fsw/cfe-core/ut-stubs/ ut_es_stubs.c:
int32 CFE_ES_WriteToSysLog(const char *pSpecString, ...)
{
    int32   status;
    UT_Stub_RegisterContext(UT_KEY(CFE_ES_WriteToSysLog), pSpecString);  <----- missing
 ...}


Expected behavior
Return register buffer size=3 when using CFE_EVS_SendEvent and buffer size =1 when using CFE_ES_WriteToSysLog.

System observed on:

Hardware
OS: Centos 7
Versions:cFE 6.7.12.0, OSAL 5.0.11.0, PSP 1.4.8.0, chksm 9194


Reporter Info
Jose Tovias CACI/LZT Technology",bug,https://github.com/nasa/cFE/issues/657
File created without restricting permissions in unit test tools,"**Is your feature request related to a problem? Please describe.**
CodelQL security warnings against following code:
https://github.com/nasa/osal/blob/09a2c5e793639e508174a2446989274acf36f25e/ut_assert/src/uttools.c#L60
https://github.com/nasa/osal/blob/09a2c5e793639e508174a2446989274acf36f25e/ut_assert/src/uttools.c#L102-L124

**Describe the solution you'd like**
https://github.com/nasa/elf2cfetbl/blob/6d1d12ea2d4ab7bcc7044f8e4c60a268d7a1f640/elf2cfetbl.c#L1455-L1464

**Describe alternatives you've considered**
None

**Additional context**
CodeQL analysis results

**Requester Info**
Jacob Hageman - NASA/GSFC",bug,https://github.com/nasa/osal/issues/780
